,,Burst Start,Burst End,Burst Duration,Edge Event,Interburst Interval,Total Cycle Time,Peaks per Burst,Peak Amp,Peak Time,Attack,Decay,Intraburst Frequency
Mean1,71.669,71.669,71.6995,0.030500000000003524,False,0.149249999999995,0.17974999999999852,1,0.4763641749320253,71.6835,0.014499999999998181,0.016000000000005343,32.78688524589785
Mean1,71.84875,71.84875,71.8765,0.0277499999999975,False,0.15200000000000102,0.17974999999999852,1,0.45233809529572694,71.86275,0.014000000000010004,0.013749999999987494,36.036036036039285
Mean1,72.0285,72.0285,72.05725,0.028750000000002274,False,0.14700000000000557,0.17575000000000784,1,0.46361345734766524,72.04225,0.013750000000001705,0.015000000000000568,34.78260869564942
Mean1,72.20425,72.20425,72.235,0.030749999999997613,False,0.14775000000000205,0.17849999999999966,1,0.48064227330030546,72.2195,0.015249999999994657,0.015500000000002956,32.52032520325456
Mean1,72.38275,72.38275,72.41125,0.028499999999993975,False,0.15200000000000102,0.180499999999995,1,0.4607414445971192,72.397,0.014250000000004093,0.014249999999989882,35.087719298253035
Mean1,72.56325,72.56325,72.59175,0.028500000000008185,False,0.14849999999999852,0.1770000000000067,1,0.46469229695967385,72.57725,0.014000000000010004,0.014499999999998181,35.087719298235534
Mean1,72.74025,72.74025,72.771,0.030749999999997613,False,0.14650000000000318,0.1772500000000008,1,0.5003999123723407,72.756,0.015749999999997044,0.015000000000000568,32.52032520325456
Mean1,72.9175,72.9175,72.94725,0.029749999999992838,False,0.15099999999999625,0.18074999999998909,1,0.4666562844427961,72.93175000000001,0.014250000000004093,0.015499999999988745,33.613445378159355
Mean1,73.09825,73.09825,73.126,0.02775000000001171,False,0.15075000000000216,0.17850000000001387,1,0.45083684275035957,73.11225,0.014000000000010004,0.013750000000001705,36.03603603602083
Mean1,73.27675,73.27675,73.30625,0.02949999999999875,False,0.14699999999999136,0.1764999999999901,1,0.47187251661491986,73.2915,0.01474999999999227,0.01475000000000648,33.8983050847472
Mean1,73.45325,73.45325,73.484,0.030749999999997613,False,0.14875000000000682,0.17950000000000443,1,0.47964095250381733,73.468,0.01475000000000648,0.015999999999991132,32.52032520325456
Mean1,73.63275,73.63275,73.661,0.028249999999999886,False,0.1522499999999951,0.180499999999995,1,0.458979153437081,73.64675,0.013999999999995794,0.014250000000004093,35.398230088495716
Mean1,73.81325,73.81325,73.84175,0.028500000000008185,False,0.14824999999999022,0.1767499999999984,1,0.47086499974365104,73.82725,0.014000000000010004,0.014499999999998181,35.087719298235534
Mean1,73.99,73.99,74.02025,0.030250000000009436,False,0.14724999999999966,0.1775000000000091,1,0.4808251810982013,74.0055,0.015500000000002956,0.01475000000000648,33.05785123965911
Mean1,74.1675,74.1675,74.1975,0.030000000000001137,False,0.15074999999998795,0.18074999999998909,1,0.4674311112953609,74.182,0.014499999999998181,0.015500000000002956,33.33333333333207
Mean1,74.34825,74.34825,74.376,0.02775000000001171,False,0.15124999999999034,0.17900000000000205,1,0.4509918194548513,74.36225,0.014000000000010004,0.013750000000001705,36.03603603602083
Mean1,74.52725,74.52725,74.5565,0.02925000000000466,False,0.14724999999999966,0.17650000000000432,1,0.47135404769980566,74.54175000000001,0.014500000000012392,0.01474999999999227,34.18803418802874
Mean1,74.70375,74.70375,74.73425,0.030500000000003524,False,0.1487499999999926,0.17924999999999613,1,0.47639395569820386,74.7185,0.01475000000000648,0.015749999999997044,32.78688524589785
Mean1,74.883,74.883,74.91225,0.02925000000000466,False,0.15174999999999272,0.18099999999999739,1,0.4797007730294103,74.89725,0.014250000000004093,0.015000000000000568,34.18803418802874
Mean1,75.064,75.064,75.09175,0.02775000000001171,False,0.14974999999999739,0.1775000000000091,1,0.4526449193505103,75.07775,0.013750000000001705,0.014000000000010004,36.03603603602083
Mean1,75.2415,75.2415,75.27175,0.030249999999995225,False,0.14700000000000557,0.1772500000000008,1,0.47712458994204854,75.257,0.015500000000002956,0.01474999999999227,33.05785123967464
